obsra,obsdec,z_helio,quality,specid
+05:53:42.96,-32:05:45.3,     +0.009603,          4,               33623
+13:17:36.37,-16:32:25.3,     +0.009603,          4,               65596
+15:04:27.15,-14:26:21.9,     +0.009602,          4,               76728
+21:37:00.76,-48:19:41.3,     +0.009601,          4,              131139
+07:44:38.90,-58:09:13.3,     +0.009601,          4,               40217
+22:23:39.17,-03:25:53.8,     +0.009600,          4,              107603
+10:59:38.20,-37:51:17.6,     +0.009599,          4,               52332
+13:19:20.65,-14:50:40.3,     +0.009598,          4,               66940
+09:02:44.94,-20:42:51.4,     +0.009597,          4,               43274
+22:38:13.52,-07:02:05.2,     +0.009596,          4,              109278
+06:23:25.59,-16:09:44.5,     +0.009594,          4,               37142
+20:10:59.17,-09:55:44.5,     +0.009593,          4,               93559
+13:05:15.57,-16:53:17.6,     +0.009591,          4,               63960
+10:58:34.27,-46:35:02.0,     +0.009591,          4,               52247
+06:19:03.18,-29:19:37.2,     +0.009590,          4,               36752
+11:55:33.67,-16:25:50.3,     +0.009590,          4,              128171
+10:06:56.19,-25:17:30.9,     +0.009589,          4,               46714
+06:19:33.39,-15:26:29.1,     +0.009589,          3,               35583
+17:19:57.72,-77:22:06.7,     +0.009588,          3,               84126
+10:48:40.66,-35:05:24.6,     +0.009586,          4,               52499
+12:42:25.55,-07:02:36.5,     +0.009582,          4,               62704
+15:11:28.91,-75:51:35.9,     +0.009578,          4,               79454
+11:28:40.46,-34:03:31.0,     +0.009576,          4,               54507
+06:24:55.98,-37:21:25.6,     +0.009566,          4,               36403
+13:10:45.98,-23:51:56.4,     +0.009566,          4,               65389
+11:14:39.07,-33:54:24.1,     +0.009563,          4,               54440
+13:11:58.49,-16:44:54.1,     +0.009562,          4,               65581
+10:35:10.42,-43:41:44.9,     +0.009562,          4,               49291
+13:16:18.04,-20:41:54.6,     +0.009560,          4,               65151
+09:50:01.44,-32:52:56.7,     +0.009556,          4,               46281
+12:49:12.05,-41:32:40.4,     +0.009556,          4,               62610
+09:40:28.73,-32:50:36.7,     +0.009554,          4,               46269
+06:27:01.25,-12:31:40.5,     +0.009553,          4,              126065
+06:16:29.63,-21:22:53.0,     +0.009550,          4,               36027
+23:26:19.99,-17:57:22.5,     +0.009549,          4,              113280
+12:25:37.73,-39:19:10.3,     +0.009549,          4,               58869
+11:09:35.57,-37:37:28.9,     +0.009545,          3,               53120
+10:48:40.66,-35:05:24.6,     +0.009544,          4,               50510
+12:57:12.16,-01:42:24.5,     +0.009539,          4,               63261
+14:30:11.94,-36:57:51.6,     +0.009537,          3,               74729
+06:08:02.22,-21:44:48.1,     +0.009536,          4,              125989
+10:21:35.08,-34:16:00.5,     +0.009535,          4,               49016
+10:24:42.48,-39:18:21.2,     +0.009534,          4,               50001
+10:44:24.55,-27:34:18.0,     +0.009533,          3,               50304
+04:50:44.31,-05:25:07.2,     +0.009532,          4,              124810
+14:59:40.99,-16:42:34.8,     +0.009531,          4,              119230
+10:37:12.85,-27:41:02.2,     +0.009529,          4,               49850
+13:40:37.10,-48:20:31.1,     +0.009527,          4,               69954
+20:11:48.87,-49:06:06.4,     +0.009527,          4,               92474
+20:09:54.07,-48:22:46.4,     +0.009524,          4,               91760
+10:33:17.50,-43:04:43.5,     +0.009521,          4,               49287
+12:27:24.93,-34:23:34.5,     +0.009520,          4,               60894
+10:32:23.79,-46:06:56.9,     +0.009520,          3,               49305
+11:06:31.76,-37:39:11.2,     +0.009519,          4,               53336
+07:15:23.73,-55:04:34.9,     +0.009518,          4,               39550
+14:51:10.37,-26:38:17.9,     +0.009517,          4,               76756
+10:04:16.21,-31:21:46.6,     +0.009517,          4,               48528
+22:55:41.70,-05:29:43.2,     +0.009516,          4,              111942
+14:35:36.03,-45:58:01.1,     +0.009516,          4,               74298
+20:25:12.22,-48:34:58.8,     +0.009516,          4,               94983
+12:27:24.93,-34:23:34.5,     +0.009514,          4,               61002
+11:44:45.89,-39:36:55.7,     +0.009511,          4,               56755
+12:14:43.31,-35:29:46.6,     +0.009509,          4,               59726
+19:27:31.68,-41:38:53.3,     +0.009509,          4,               89055
+12:26:43.73,-39:16:05.5,     +0.009502,          3,               60304
+13:24:00.32,-12:16:35.2,     +0.009501,          4,               67243
+10:00:05.40,-34:13:41.8,     +0.009501,          4,              127365
+19:30:11.23,-39:24:31.5,     +0.009501,          4,               89048
+20:31:39.02,-30:49:54.9,     +0.009500,          4,               95446
+11:37:02.49,-36:48:55.3,     +0.009497,          4,               56288
+05:47:51.43,-17:36:08.6,     +0.009489,          4,               33951
+23:37:49.47,-47:43:38.5,     +0.009488,          4,              114202
+05:10:48.10,-02:40:54.2,     +0.009487,          4,               30942
+13:13:32.24,-17:04:43.4,     +0.009487,          4,               65120
+06:28:25.43,-17:06:13.8,     +0.009487,          4,               37124
+13:06:24.00,-24:09:50.6,     +0.009485,          4,               64850
+10:26:10.34,-39:56:34.8,     +0.009485,          4,               50552
+19:27:58.33,-41:34:31.2,     +0.009479,          4,               89054
+10:00:05.40,-34:13:41.8,     +0.009479,          4,               48638
+20:09:58.91,-48:21:26.3,     +0.009477,          4,               92468
+09:35:22.68,-12:21:34.8,     +0.009475,          4,              118674
+11:28:51.03,-36:03:54.4,     +0.009475,          3,               54612
+09:45:57.90,-32:12:08.6,     +0.009475,          4,              127338
+13:57:56.50,-29:17:25.4,     +0.009474,          4,               70438
+03:24:48.70,-03:02:32.2,     +0.009471,          4,               19386
+06:30:57.86,-23:43:44.6,     +0.009470,          4,              134155
+15:01:27.91,-14:18:48.1,     +0.009470,          4,               76734
+22:32:06.56,-29:33:37.7,     +0.009470,          4,              109092
+13:11:43.30,-20:32:17.3,     +0.009469,          4,               65771
+10:22:59.46,-42:49:39.1,     +0.009468,          4,               49275
+04:06:15.55,-08:38:09.4,     +0.009467,          4,               24690
+20:17:11.79,-40:55:25.4,     +0.009466,          4,               94775
+10:37:15.51,-41:37:39.2,     +0.009466,          4,               50067
+01:42:47.19,-20:39:24.9,     +0.009465,          4,               10106
+11:34:47.52,-36:10:11.3,     +0.009464,          4,               55639
+20:35:55.70,-31:10:49.3,     +0.009464,          4,               95709
+06:38:28.84,-24:50:55.2,     +0.009463,          4,              134170
+11:19:21.79,-36:35:44.9,     +0.009462,          4,               53321
+23:47:51.76,-30:31:19.3,     +0.009462,          4,              132727
+04:47:19.22,-04:12:05.2,     +0.009460,          4,              124803
+22:24:11.53,-03:29:00.1,     +0.009460,          4,              107610
+10:27:51.27,-43:54:13.8,     +0.009460,          4,               49296
+11:12:33.99,-36:25:40.6,     +0.009459,          4,               53316
+12:52:13.25,-29:50:26.8,     +0.009459,          4,               61737
+13:17:01.88,-10:46:12.0,     +0.009458,          4,               66410
+18:56:32.81,-52:52:53.8,     +0.009457,          4,               87948
+14:45:01.59,-28:53:06.1,     +0.009456,          4,               75895
+21:51:30.24,-52:38:15.3,     +0.009453,          4,              103219
+19:40:58.64,-42:15:45.2,     +0.009450,          4,               90440
+12:23:43.93,-36:53:03.3,     +0.009447,          4,               61343
+22:37:21.18,-08:27:39.8,     +0.009444,          3,              107860
+05:33:38.94,-29:29:14.1,     +0.009443,          3,               32261
+12:52:13.25,-29:50:26.8,     +0.009442,          4,               62293
+06:25:34.47,-28:27:15.6,     +0.009442,          4,               36767
+10:36:52.88,-32:20:54.1,     +0.009442,          4,               49957
+13:18:28.46,-10:14:02.0,     +0.009441,          4,               67257
+12:25:17.97,-43:26:43.7,     +0.009441,          4,               58698
+04:33:41.96,-33:30:45.2,     +0.009438,          4,               26953
+13:11:18.96,-19:49:48.8,     +0.009438,          4,               65155
+11:34:43.62,-38:15:03.2,     +0.009436,          4,               55351
+07:35:44.52,-46:33:20.1,     +0.009436,          4,               40266
+09:40:28.73,-32:50:36.7,     +0.009434,          4,              127329
+11:18:26.05,-33:25:38.8,     +0.009433,          4,               54437
+22:57:32.65,-02:30:02.9,     +0.009433,          4,              132261
+11:06:26.51,-36:38:24.0,     +0.009433,          4,               52576
+12:07:24.84,-38:14:50.4,     +0.009432,          4,               58837
+13:09:17.79,-24:22:55.6,     +0.009426,          4,               64889
+11:14:39.07,-33:54:24.1,     +0.009425,          4,               53092
+09:45:57.90,-32:12:08.6,     +0.009425,          4,               46278
+10:00:05.40,-34:13:41.8,     +0.009421,          4,               46305
+10:25:52.28,-43:44:52.8,     +0.009419,          4,               49284
+23:14:52.34,-37:51:19.7,     +0.009419,          4,              113339
+13:18:26.86,-15:46:00.5,     +0.009419,          4,              128603
+10:52:48.04,-45:40:38.8,     +0.009419,          4,               52224
+12:59:45.90,-29:36:00.8,     +0.009418,          4,               64154
+10:31:11.60,-46:15:04.6,     +0.009414,          4,               49307
+04:48:22.51,-03:21:59.6,     +0.009411,          4,              124789
+19:57:41.34,-48:28:52.6,     +0.009410,          4,               91720
+15:00:52.33,-14:09:54.7,     +0.009400,          4,               76736
+05:41:47.47,-31:22:34.4,     +0.009398,          4,               33605
+22:58:34.47,-04:56:18.4,     +0.009398,          3,              112251
+11:39:01.72,-37:44:18.9,     +0.009397,          4,               55640
+15:30:46.13,-02:49:46.2,     +0.009395,          4,               79247
+13:37:00.58,-08:12:38.8,     +0.009394,          4,               69232
+22:18:33.51,-48:15:18.5,     +0.009393,          4,              107185
+10:11:42.42,-31:38:34.2,     +0.009392,          4,               48301
+12:26:18.84,-42:11:15.8,     +0.009390,          4,               58692
+12:47:08.38,-38:00:24.5,     +0.009390,          3,               61825
+03:33:04.84,-01:58:40.3,     +0.009386,          4,               21862
+06:38:52.56,-25:09:56.5,     +0.009383,          4,              134168
+09:53:18.78,-25:04:29.7,     +0.009382,          3,               46650
+09:59:05.93,-30:15:04.9,     +0.009380,          4,               48166
+19:28:43.76,-56:26:55.8,     +0.009378,          4,               90164
+22:15:02.56,-11:30:59.3,     +0.009378,          4,              131830
+12:42:25.09,-07:02:45.3,     +0.009377,          4,               61609
+11:54:20.29,-16:39:12.0,     +0.009376,          4,              128166
+11:12:31.39,-36:49:36.2,     +0.009375,          4,               53115
+19:59:39.59,-49:10:57.6,     +0.009374,          4,               92457
+12:43:18.64,-41:30:16.5,     +0.009374,          4,               61766
+11:50:24.93,-38:38:53.6,     +0.009372,          4,               58017
+04:33:41.96,-33:30:45.2,     +0.009371,          4,               26619
+04:20:26.31,-31:43:28.4,     +0.009370,          4,               25164
+10:24:47.46,-43:57:51.6,     +0.009369,          4,               49288
+11:26:30.25,-36:41:07.4,     +0.009369,          4,               55570
+15:33:05.61,-01:37:41.8,     +0.009368,          4,               79633
+09:24:52.50,-25:47:17.5,     +0.009366,          4,              126952
+12:43:26.49,-42:56:09.8,     +0.009366,          4,               62591
+22:35:45.09,-46:43:42.9,     +0.009364,          4,              135551
+21:01:56.82,-72:59:18.5,     +0.009360,          4,               96695
+12:34:11.86,-36:49:07.7,     +0.009360,          4,               61349
+15:46:58.72,-75:47:14.8,     +0.009360,          4,               79514
+10:34:08.68,-34:38:01.5,     +0.009355,          4,               50535
+10:23:35.05,-38:39:21.5,     +0.009354,          4,               50008
+11:59:19.75,-34:55:16.5,     +0.009350,          3,               57577
+18:00:35.00,-59:08:11.4,     +0.009349,          4,               85650
+20:34:20.55,-31:58:51.0,     +0.009343,          4,               95701
+11:50:24.63,-38:38:57.9,     +0.009342,          4,               56310
+20:07:58.34,-47:58:11.7,     +0.009340,          4,               91754
+20:16:48.21,-29:26:47.7,     +0.009339,          4,               92878
+10:01:29.86,-34:06:44.6,     +0.009339,          4,               48640
+17:59:16.90,-59:30:26.3,     +0.009334,          4,               86249
+14:47:54.48,-19:07:47.9,     +0.009328,          4,               76105
+05:56:25.18,-19:41:31.1,     +0.009324,          4,              125934
